,HSSU300203R(1971081),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Date :,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,2022/10/09
0,,,,,,,,,,,,,,,Page :,,,,,1 of 11
1,2019학년도 교과과정안내,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,
4,엘텍공과대학   학부/학과 : 소프트웨어학부   전공 : 컴퓨터공학   출력구분 : 주전공,,,,,,,,,,,,,,,,,,,
5,졸업학점-신입,,졸업학점-편입,,졸업평균평점,,영어강의이수학점,,,인문학관련교양이수학점,,,,,,SW교과목이수학점,타과인정제한학점,,,심화전공설치여부
6,139,,69.5,,1.7,,18,,,8,,,,,,-,9,,,설치
7,,,,,,,,,,,,,,,,,,,,
8,구분,"영역명
(학수번호)
*:신설교과목",,교과목명,,,,"이수권장
학년","설정
학기",,시간,학점,"필수
여부","학사
편입생
제외여부",,개설학과,,"2022학년
2학기
개설여부",비고,
9,,,,,,,,,,,,,,,,,,,"(재):재수강인정과목
(선):선수과목
(타):타전공인정교과목",
10,이화진선미(인성),[이화진선미(인성)],,[2영역 5학점 이수],,,,,,,,,필수,Y,,,,,,
11,,   -기독교와세계,,[1과목 3학점 이수],,,,,,,,,필수,Y,,,,,,
12,,10023,,기독교와세계,,,,1,"1,2",,3,3,필수,,,기독교학과,,Y,,
13,,   -나눔리더십 외,,[1과목 2학점 이수],,,,,,,,,필수,Y,,,,,,
14,,11256,,공존과협력의유토피아,,,,1,"1,2",,3,2,,,,호크마,,,,
15,,11254,,관계의미학:사랑과윤리,,,,1,"1,2",,3,2,,,,호크마,,,,
16,,11095,,나눔리더십,,,,1,"1,2",,3,2,,,,호크마,,Y,,
17,,11253,,나눔의인간학,,,,1,"1,2",,3,2,,,,호크마,,,,
18,,11252,,청춘의자기이해,,,,1,"1,2",,3,2,,,,호크마,,,,
19,,11255,,호모엠파티쿠스:소통·공감·신뢰,,,,1,"1,2",,3,2,,,,호크마,,,,
20,사고와표현,[사고와표현],,[2과목 5학점 이수],,,,,,,,,필수,Y,,,,,,
21,,10021,,우리말과글쓰기,,,,1,"1,2",,3,3,필수,,,국어국문학과,,Y,,
